Transaction_ID,Date,Product_ID,Region_ID,Customer_ID,Quantity_Sold,Sales_Channel,Selling_Price,Category,Sales_Amount,Promotion_ID,Promotion_Type,Promotion_Budget
1,19/04/2023,24,4,117,6,Super Shop,30.14,Dairy,180.84,5,Bundle Offer,3391.6
2,02/10/2024,1,3,331,4,Super Shop,33.84,Snacks,135.36,,No Promotion,0
3,02/11/2023,12,3,56,4,Departmental Store,53.91,Snacks,215.64,10,Buy One Get One Free,2301.32
4,16/10/2024,8,2,351,2,Online,45.89,Snacks,91.78,,No Promotion,0
5,03/06/2024,24,4,132,6,Departmental Store,30.14,Dairy,180.84,,No Promotion,0
6,15/09/2024,11,4,483,3,Departmental Store,18.25,Snacks,54.75,,No Promotion,0
7,23/07/2023,19,4,226,1,Online,38.17,Personal Care,38.17,3,Discount,4758
8,06/06/2023,17,2,308,16,Online,26.62,Personal Care,425.92,3,Discount,4758
9,18/01/2024,8,4,475,15,Online,45.89,Snacks,688.35,9,Discount,1180.91
10,15/06/2023,3,4,394,9,Online,46.14,Dairy,415.26,5,Bundle Offer,3391.6
11,06/07/2024,3,3,222,3,Super Shop,46.14,Dairy,138.42,,No Promotion,0
12,27/06/2024,1,3,173,6,Super Shop,33.84,Snacks,203.04,9,Discount,1180.91
13,01/01/2023,5,4,340,1,Departmental Store,13.67,Beverages,13.67,,No Promotion,0
14,05/09/2024,10,1,285,4,Super Shop,51.38,Snacks,205.52,,No Promotion,0
15,28/11/2023,7,1,309,1,Departmental Store,11,Snacks,11,10,Buy One Get One Free,2301.32
16,15/05/2024,9,4,157,15,Departmental Store,46.33,Personal Care,694.95,8,Buy One Get One Free,1783.93
17,20/01/2023,7,1,151,3,Online,11,Snacks,33,,No Promotion,0
18,25/04/2023,9,2,185,13,Online,46.33,Personal Care,602.29,3,Discount,4758
19,07/01/2024,8,3,178,13,Super Shop,45.89,Snacks,596.57,11,Buy One Get One Free,2554.71
20,11/11/2023,12,2,21,16,Super Shop,53.91,Snacks,862.56,10,Buy One Get One Free,2301.32
21,03/09/2023,2,3,112,2,Super Shop,51.58,Snacks,103.16,10,Buy One Get One Free,2301.32
22,01/03/2023,1,1,171,1,Super Shop,33.84,Snacks,33.84,,No Promotion,0
23,04/09/2023,16,1,138,18,Online,15.96,Beverages,287.28,1,Bundle Offer,4878.34
24,03/08/2024,23,4,233,8,Online,26.43,Personal Care,211.44,17,Buy One Get One Free,1563.7
25,22/03/2023,23,1,332,2,Super Shop,26.43,Personal Care,52.86,,No Promotion,0
26,29/03/2023,24,1,30,3,Departmental Store,30.14,Dairy,90.42,,No Promotion,0
27,12/05/2024,5,4,381,5,Online,13.67,Beverages,68.35,,No Promotion,0
28,12/03/2023,3,4,307,2,Online,46.14,Dairy,92.28,,No Promotion,0
29,29/06/2024,12,3,161,19,Online,53.91,Snacks,1024.29,9,Discount,1180.91
30,09/05/2023,8,1,402,10,Online,45.89,Snacks,458.9,15,Bundle Offer,2123.74
31,12/05/2023,22,3,78,3,Super Shop,16.64,Beverages,49.92,,No Promotion,0
32,06/11/2024,3,3,278,1,Super Shop,46.14,Dairy,46.14,,No Promotion,0
33,01/05/2024,1,2,320,5,Departmental Store,33.84,Snacks,169.2,9,Discount,1180.91
34,16/07/2024,3,1,21,1,Online,46.14,Dairy,46.14,,No Promotion,0
35,19/06/2023,5,1,385,6,Super Shop,13.67,Beverages,82.02,,No Promotion,0
36,29/09/2023,15,2,497,13,Super Shop,20.34,Snacks,264.42,10,Buy One Get One Free,2301.32
37,24/06/2024,14,3,363,4,Online,25.14,Beverages,100.56,,No Promotion,0
38,13/09/2024,3,1,372,5,Super Shop,46.14,Dairy,230.7,,No Promotion,0
39,09/03/2024,1,3,380,12,Super Shop,33.84,Snacks,406.08,9,Discount,1180.91
40,05/08/2023,5,2,143,2,Super Shop,13.67,Beverages,27.34,7,Bundle Offer,1353.97
41,06/07/2024,23,4,36,11,Departmental Store,26.43,Personal Care,290.73,17,Buy One Get One Free,1563.7
42,07/12/2024,14,3,303,3,Super Shop,25.14,Beverages,75.42,,No Promotion,0
43,25/07/2023,7,1,438,8,Online,11,Snacks,88,10,Buy One Get One Free,2301.32
44,31/12/2024,9,4,214,1,Online,46.33,Personal Care,46.33,,No Promotion,0
45,16/11/2023,15,3,32,20,Online,20.34,Snacks,406.8,10,Buy One Get One Free,2301.32
46,13/02/2024,15,3,186,4,Super Shop,20.34,Snacks,81.36,9,Discount,1180.91
47,18/11/2024,10,4,174,1,Departmental Store,51.38,Snacks,51.38,,No Promotion,0
48,27/10/2024,13,4,54,1,Super Shop,44.83,Beverages,44.83,,No Promotion,0
49,18/01/2024,19,4,161,8,Online,38.17,Personal Care,305.36,4,Bundle Offer,4579.31
50,24/03/2024,7,1,250,7,Departmental Store,11,Snacks,77,9,Discount,1180.91
51,13/06/2024,17,1,489,3,Departmental Store,26.62,Personal Care,79.86,,No Promotion,0
52,07/04/2024,20,3,251,1,Super Shop,22.73,Dairy,22.73,,No Promotion,0
53,04/05/2023,4,3,423,1,Online,41.23,Beverages,41.23,,No Promotion,0
54,11/09/2023,5,2,279,3,Super Shop,13.67,Beverages,41.01,1,Bundle Offer,4878.34
55,19/08/2023,23,1,171,9,Online,26.43,Personal Care,237.87,3,Discount,4758
